Countries to drop
Algeria
Antigua and Barbuda
Bermuda
Bolivia
Botswana
Canada
Comoros
Eritrea
France
Greece
Greenland
Grenada
Haiti
Honduras
Iraq
Liberia
Luxembourg
Morocco
Nicaragua
North Macedonia
Papua New Guinea
Puerto Rico
South Sudan
Sudan
Suriname
Tonga
Turkmenistan
United Arab Emirates
United States
Uzbekistan
Vanuatu
Zimbabwe
Dominica
Montenegro
Palau
Bosnia and Herzegovina
Equatorial Guinea
Guam
Libya
Nigeria
Somalia
